school_name,status,active_url,num_pdfs,,,
ALASKA BIBLE COLLEGE,200,1,,,,
ALASKA CAREER COLLEGE,200,1,,,,
ALASKA CHRISTIAN COLLEGE,200,1,,,200,75.9
ALASKA PACIFIC UNIVERSITY,200,1,,,403,9.9
ALASKA VOCATIONAL TECHNICAL CENTER,200,1,,,404,3.9
ILISAGVIK COLLEGE,403,0,0,,406,2.5
UNIVERSITY OF ALASKA ANCHORAGE,200,1,,,500,0.1
UNIVERSITY OF ALASKA FAIRBANKS,200,1,,,No URL,1.8
UNIVERSITY OF ALASKA SOUTHEAST,200,1,,,Did Not Connect,5.4
ALABAMA A&M UNIVERSITY,200,1,,,,99.4485684
ALABAMA SCHOOL OF NAIL TECHNOLOGY AND COSMETOLOGY INC,200,1,,,,
ALABAMA STATE UNIVERSITY,404,0,0,,,
ATHENS STATE UNIVERSITY,403,0,0,,,
AUBURN UNIVERSITY,200,1,,,,
AUBURN UNIVERSITY AT MONTGOMERY,403,0,0,,,
BEVILL STATE COMMUNITY COLLEGE,200,1,,,,
BIRMINGHAM-SOUTHERN COLLEGE,406,0,0,,,
BISHOP STATE COMMUNITY COLLEGE,200,1,,,,
BLUE CLIFF CAREER COLLEGE,200,1,,,,
BROWN BEAUTY BARBER SCHOOL,"HTTPSConnectionPool(host='www.covid-relief-data.ed', port=443): Max retries exceeded with url: /gov (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000020B2708F430>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",0,0,,,
"CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND, INC.",200,1,,,,
CAREER CONSULTANTS INC.,200,1,,,,
CENTRAL ALABAMA COMMUNITY COLLEGE,200,1,,,,
CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,200,1,,,,
DONALD S MATHEWS DBA AL ST COLLEGE OF BARBER STYLING,"HTTPSConnectionPool(host='alabamastatebarbercollege.com', port=443): Max retries exceeded with url: /heerf.html (Caused by SSLError(SSLCertVerificationError(""hostname 'alabamastatebarbercollege.com' doesn't match either of '*.accountservergroup.com', 'accountservergroup.com'"")))",0,0,,,
ENTERPRISE STATE COMMUNITY COLLEGE,200,1,,,,
FAULKNER UNIVERSITY,200,1,,,,
FORTIS COLLEFE/ EDUATION AFFILIAES INC,200,1,,,,
FORTIS COLLEGE MOBILE/ EA INC,200,1,,,,
GADSDEN STATE COMMUNITY COLLEGE,200,1,,,,
"GEORGE C. WALLACE COMMUNITY COLLEGE (DOTHAN, AL)",200,1,,,,
GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE,404,0,0,,,
H. COUNCILL TRENHOLM STATE COMMUNITY COLLEGE,Invalid URL 'https://': No host supplied,0,0,,,
HERITAGE CHRISTIAN UNIVERSITY,200,1,,,,
HUNTINGDON COLLEGE,200,1,,,,
HUNTSVILLE BIBLE COLLEGE,406,0,0,,,
J. F. DRAKE STATE COMMUNITY AND TECHNICAL COLLEGE,200,1,,,,
J.F. INGRAM STATE TECHNICAL COLLEGE,200,1,,,,
JACKSONVILLE STATE UNIVERSITY,"HTTPSConnectionPool(host='www.jsu.edu', port=443): Max retries exceeded with url: /coronavirus/cockycares/reporting/index.html (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1125)')))",0,0,,,
JC CALHOUN STATE COMMUNITY COLLEGE,200,1,,,,
JEFFERSON STATE COMMUNITY COLLEGE,403,0,0,,,
JUDSON COLLEGE,200,1,,,,
LAWSON STATE COMMUNITY COLLEGE,200,1,,,,
LURLEEN B. WALLACE COMMUNITY COLLEGE,200,1,,,,
MARION MILITARY INSTITUTE,200,1,,,,
MIDFIELD INSTITUTE OF COSMETOLOGY INC,200,1,,,,
MILES COLLEGE,200,1,,,,
NORTHEAST ALABAMA COMMUNITY COLLEGE,200,1,,,,
NORTHWEST-SHOALS COMMUNITY COLLEGE,200,1,,,,
OAKWOOD UNIVERSITY,200,1,,,,
PMAL HUNTSVILLE LLC,200,1,,,,
REID STATE TECHNICAL COLLEGE,200,1,,,,
SAMFORD UNIVERSITY,200,1,,,,
SHELTON STATE COMMUNITY COLLEGE,403,0,0,,,
SNEAD STATE COMMUNITY COLLEGE,200,1,,,,
SOUTHERN UNION STATE COMMUNITY COLLEGE,200,1,,,,
SPRING HILL COLLEGE,404,0,0,,,
STILLMAN COLLEGE,200,1,,,,
TALLADEGA COLLEGE,"HTTPSConnectionPool(host='www.talladega.edu', port=443): Max retries exceeded with url: /cares-act-reporting (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1125)')))",0,0,,,
THE ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE INC,200,1,,,,
THE COASTAL ALABAMA COMMUNITY COLLEGE,403,0,0,,,
THE UNIVERSITY OF ALABAMA,200,1,,,,
THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,200,1,,,,
